LATITUDE;LONGITUDE;ALTITUDE;GEOMETRY;NAME_DER_SCHULE;ANSCHRIFT;BESCHREIBUNG_(STADTTEIL-SCHULFORM-SCHULTRAEGER)
51.242489;6.858099;;point;LVR-Kurt-Schwitters-Schule;Gräulinger Straße 110 - 40625 - Düsseldorf -;Gerresheim - Förderschule - Landschaftsverband Rheinland
51.203684;6.788727;;point;LVR-Schule am Volksgarten;Brinckmannstraße 8-10 - 40225 - Düsseldorf -;Bilk - Förderschule - Landschaftsverband Rheinland
51.245623;6.820016;;point;Lycée Francais de Düsseldorf;Graf-Recke-Straße 220 - 40237 - Düsseldorf -;Mörsenbroich - Grundschule - Sonstiger Träger
51.245623;6.820016;;point;Lycée Francais de Düsseldorf;Graf-Recke-Straße 220 - 40237 - Düsseldorf -;Mörsenbroich - Gymnasium - Sonstiger Träger
51.228704;6.806554;;point;Maria-Montessori-Gesamtschule;Lindenstraße 140 - 40233 - Düsseldorf -;Flingern-Nord - Gesamtschule - Stadt Düsseldorf
51.238717;6.863493;;point;Marie-Curie-Gymnasium;Gräulinger Straße 15 - 40625 - Düsseldorf -;Gerresheim - Gymnasium - Stadt Düsseldorf
51.19021;6.81433;;point;Marienschule;Rheindorfer Weg 20 - 40591 - Düsseldorf -;Wersten - Grundschule - Stadt Düsseldorf
51.23453;6.85849;;point;Martin-Luther-King-Schule;Schönaustraße 25 - 40625 - Düsseldorf -;Gerresheim - Förderschule - Stadt Düsseldorf
51.19605;6.77947;;point;Martin-Luther-Schule;Gotenstraße 20 - 40225 - Düsseldorf -;Bilk - Grundschule - Stadt Düsseldorf
51.23472;6.78649;;point;Matthias-Claudius-Schule;Bongardstraße 9 - 40479 - Düsseldorf -;Pempelfort - Grundschule - Stadt Düsseldorf
51.25935;6.76016;;point;Max-Planck-Gymnasium;Koetschaustraße 36 - 40474 - Düsseldorf -;Stockum - Gymnasium - Stadt Düsseldorf
51.223017;6.770556;;point;Max-Schule;Citadellstraße 2B - 40213 - Düsseldorf -;Altstadt - Grundschule - Stadt Düsseldorf
51.20367;6.77826;;point;Max-Weber-Berufskolleg;Suitbertusstraße 163-165 - 40223 - Düsseldorf -;Bilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.14179;6.89415;;point;Montessori-Grundschule Emil-Barth-Straße;Emil-Barth-Straße 45 - 40595 - Düsseldorf -;Garath - Grundschule - Stadt Düsseldorf
51.26627;6.75579;;point;Montessori-Grundschule Farnweg;Farnweg 10 - 40468 - Düsseldorf -;Stockum - Grundschule - Stadt Düsseldorf
51.2280291;6.8049025;;point;Montessori-Grundschule Lindenstraße;Lindenstraße 102 - 40233 - Düsseldorf -;Flingern-Nord - Grundschule - Stadt Düsseldorf
51.228704;6.806554;;point;Montessori-Hauptschule Hermannplatz;Lindenstraße 140 - 40233 - Düsseldorf -;Flingern-Nord - Hauptschule - Stadt Düsseldorf
51.18086;6.82085;;point;Mosaikschule;Am Massenberger Kamp 45 - 40589 - Düsseldorf -;Wersten - Förderschule - Stadt Düsseldorf
51.22787;6.79467;;point;Paul-Klee-Schule;Gerresheimer Straße 34 - 40211 - Düsseldorf -;Stadtmitte - Grundschule - Stadt Düsseldorf
51.23593;6.80445;;point;Paulusschule;Paulusplatz 1 - 40237 - Düsseldorf -;Düsseltal - Grundschule - Stadt Düsseldorf
51.20618;6.85801;;Point;Peter-Härtling-Schule - Standort der Alfred-Herrhausen-Schule;Vennhauser Allee 167 - 40627 - Düsseldorf -;Vennhausen - Förderschule - Stadt Düsseldorf
51.314740;6.756878;;point;Private Förderschule I der Graf-Recke-Stiftung;Buschgasserweg 25 - 40489 - Düsseldorf -;Wittlaer - Förderschule - Sonstiger Träger
51.314740;6.756878;;point;Private Förderschule II der Graf-Recke-Stiftung;Buschgasserweg 25 - 40489 - Düsseldorf -;Wittlaer - Förderschule - Sonstiger Träger
51.243084;6.739325;;point;Privates Berufskolleg für Kosmetik und Gestaltung;Emanuel-Leutze-Straße 4 - 40547 - Düsseldorf -;Lörick - Berufs- Weiterbildungskolleg - Sonstiger Träger
51.167;6.86525;;point;Realschule Benrath;Hospitalstraße 45 - 40597 - Düsseldorf -;Benrath - Realschule - Stadt Düsseldorf
51.2114199;6.77202;;point;Realschule Florastraße;Florastraße 69 - 40217 - Düsseldorf -;Unterbilk - Realschule - Stadt Düsseldorf
51.21701;6.78479;;point;Realschule Friedrichstadt;Luisenstraße 73 - 40215 - Düsseldorf -;Friedrichstadt - Realschule - Stadt Düsseldorf
51.25396;6.7622;;point;Realschule Golzheim;Tersteegenstraße 62 - 40474 - Düsseldorf -;Golzheim - Realschule - Stadt Düsseldorf
51.211947;6.780508;;point;Regenbogenschule;Jahnstraße 97 - 40215 - Düsseldorf -;Friedrichstadt - Grundschule - Stadt Düsseldorf
51.243285; 6.859837;;point;Rheinische Schule für Gehörlose - Pädaudiologische Beratungsstelle;Am Großen Dern 10 - 40625 - Düsseldorf -;Ludenberg - Förderschule - Landschaftsverband Rheinland
51.19605;6.77947;;point;Rudolf-Hildebrand-Schule;Gotenstraße 20 - 40225 - Düsseldorf -;Bilk - Förderschule - Stadt Düsseldorf
51.17487;6.83083;;point;Sankt Apollinaris Schule - Standort 1;Itterstraße 16 - 40589 - Düsseldorf -;Holthausen - Grundschule - Stadt Düsseldorf
51.16989;6.80647;;Point;Sankt Apollinaris Schule - Standort 2;Steinkaul 27 - 40589 - Düsseldorf -;Himmelgeist - Grundschule - Stadt Düsseldorf
51.26789;6.76918;;point;Sankt Bruno-Schule;An der Golzheimer Heide 120 - 40468 - Düsseldorf -;Unterrath - Grundschule - Stadt Düsseldorf
51.20813;6.82835;;point;Sankt Michael-Schule;Kempgensweg 65 - 40231 - Düsseldorf -;Lierenfeld - Grundschule - Stadt Düsseldorf
51.23952;6.78449;;point;Sankt Rochus-Schule;Gneisenaustraße 60 - 40477 - Düsseldorf -;Pempelfort - Grundschule - Stadt Düsseldorf
51.22382;6.79045;;point;Sankt-Benedikt-Schule;Charlottenstraße 110 - 40210 - Düsseldorf -;Stadtmitte - Hauptschule - Stadt Düsseldorf
51.167146;6.869103;;point;Sankt-Cäcilia-Schule;Erich-Müller-Straße 31 - 40597 - Düsseldorf -;Benrath - Grundschule - Stadt Düsseldorf
51.17874;6.86085;;point;Sankt-Elisabeth-Schule;Buchenstraße 16 - 40599 - Düsseldorf -;Reisholz - Grundschule - Stadt Düsseldorf
51.24998;6.80908;;point;Sankt-Franziskus-Schule;Herchenbachstraße 2 - 40470 - Düsseldorf -;Mörsenbroich - Grundschule - Stadt Düsseldorf
51.211947;6.780508;;point;Sankt-Peter-Schule;Jahnstraße 97 - 40215 - Düsseldorf -;Friedrichstadt - Grundschule - Stadt Düsseldorf
51.167172;6.864355;;point;Schloß-Gymnasium Benrath;Hospitalstraße 45 - 40597 - Düsseldorf -;Benrath - Gymnasium - Stadt Düsseldorf
51.17828;6.87515;;point;Selma Lagerlöf Schule;Schillstraße 7 - 40599 - Düsseldorf -;Hassels - Grundschule - Stadt Düsseldorf
